code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
506761,Alojzov,205,145,144,29,0,0,9,0,5,17,4,1,1,0,0,18,0,5,32,0,0,6,0,0,1,1,15,0
589268,Bedihošť,834,527,524,51,0,0,28,1,13,123,2,2,14,1,0,34,0,6,140,0,0,26,0,0,0,0,82,1
589276,Bílovice-Lutotín,431,279,275,2,0,0,12,0,3,18,0,0,2,0,0,14,0,1,25,0,0,12,0,0,0,0,12,0
589284,Biskupice,238,132,131,14,0,0,9,0,5,24,2,1,1,0,0,10,2,0,34,0,0,10,0,0,0,0,19,0
589292,Bohuslavice,376,236,236,20,0,0,23,0,3,22,3,4,6,0,1,17,0,4,53,1,1,39,0,0,3,0,36,0
589306,Bousín,107,67,67,5,0,0,4,0,3,14,0,2,0,0,0,7,0,2,10,0,0,9,0,0,0,0,11,0
589314,Brodek u Konice,695,460,460,2,0,0,3,0,1,6,0,1,0,0,0,5,0,0,17,0,0,5,0,0,0,0,12,0
589322,Brodek u Prostějova,1224,656,655,4,0,0,3,0,1,6,0,0,0,0,0,4,0,1,10,0,0,6,2,0,0,1,11,0
589331,Březsko,178,111,111,9,1,0,9,0,6,3,0,3,1,0,0,10,1,2,36,0,0,17,0,0,0,0,13,0
589349,Budětsko,331,208,206,6,0,0,24,0,6,22,1,3,2,0,0,7,1,3,58,0,1,32,0,1,2,0,35,2
589357,Buková,264,170,169,16,0,0,19,0,3,33,2,0,3,0,0,14,0,2,35,1,0,25,0,1,0,0,15,0
589365,Čehovice,426,281,280,16,0,0,27,0,8,42,5,7,5,0,0,18,0,10,80,0,1,13,0,0,1,3,44,0
589381,Čechy pod Kosířem,814,512,512,25,1,0,66,1,20,79,7,7,6,0,0,31,2,7,140,0,0,47,0,0,0,3,70,0
589390,Čelčice,437,272,272,21,0,0,23,1,10,46,5,0,3,0,1,18,0,2,74,0,1,15,0,0,1,1,49,1
589403,Čelechovice na Hané,1063,649,642,5,0,0,7,0,7,6,0,0,0,0,0,4,0,4,24,0,0,5,0,0,0,0,19,2
589420,Dětkovice,427,284,281,19,0,0,12,0,6,47,2,4,4,1,0,38,0,2,82,0,0,36,0,2,0,1,25,0
589438,Dobrochov,270,172,170,13,0,0,14,1,7,13,5,2,3,0,0,13,0,5,51,0,1,17,0,0,0,0,25,0
589446,Dobromilice,629,308,308,9,0,4,22,0,14,42,1,0,1,0,0,10,0,0,95,1,1,36,2,0,0,0,68,2
